CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime



GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 00:00:05
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 05:51:10
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 05:51:06
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00







GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 05:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 00:00:05
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 10:10:22
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 05:51:10
GBP,875.19,848,881.63,885.53,877.64,2021.01.09 05:51:06
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00
GBP,875,847.81,881.44,885.34,877.64,2021.01.09 05:30:00







GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:30:00
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
GBP,875.19,848,881.63,885.53,877.64,2021.01.10 10:10:15
