CurrencyName,BuyingRate,CashBuyingRate,SellingRate,CashSellingRate,MiddleRate,PubTime



SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:10:15
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:10:15
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 00:00:05
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 05:51:10
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 05:51:06
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00







SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:10:15
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:10:15
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 05:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 00:00:05
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:30:00
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 10:10:22
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 05:51:10
SEK,78.27,75.85,78.89,79.27,79.01,2021.01.09 05:51:06
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00
SEK,78.34,75.92,78.96,79.34,79.01,2021.01.09 05:30:00







SEK,78.27,75.85,78.89,79.27,79.01,2021.01.10 10:30:00
